Name,Ra_1,Dec_1,a26_1,b/a,AB,Kmag,f_Kmag,W50,TType,Tdw1,Tdw2,RVel,Dis,f_Dis,A26_1a,inc,Vm,AB_int,SBB,logKLum,logM26,l_logMHI,logMHI,VLG,Theta1,MD,Theta5,Thetaj,l_mag_B,mag_B,e_mag_B,l_mag_FUV,mag_FUV,e_mag_FUV,l_mag_HI,mag_HI,e_mag_HI,l_mag_Ha,mag_Ha,e_mag_Ha,cz,e_cz,e_W50,r_W50,DM,e_DM,BMag,l_SFRHa,logSFRHa,l_PHa,PHa,l_FHa,FHa,l_SFRFUV,logSFRFUV,l_PFUV,PFUV,l_FFUV,FFUV,KLum,M26,MHI,SFRHa,SFRFUV,SFR_UNGC,logSFR_UNGC,SFR_UNGC_Gyr,logSFR_UNGC_Gyr,StellarMass,logStellarMass,PGC,OBJNAME,ID_NED,ID_NEDD,ID_IRAS,ID_2MASS,SDSS_PHOTID,SDSS_SPECID,RA_2,DEC_2,F_ASTROM,R1,R2,PA,RSOURCE,RFLAG,T,E_T,INCL,V,E_V,V_VIR,E_V_VIR,NDIST,EDIST,D,E_D,D_LO68,D_HI68,D_LO95,D_HI95,DMETHOD,UT,BT,VT,IT,E_UT,E_BT,E_VT,E_IT,AG,AI,S12,S25,S60,S100,Q12,Q25,Q60,Q100,WF1,WF2,WF3,WF4,E_WF1,E_WF2,E_WF3,E_WF4,WFPOINT,WFTREAT,J,H,K,E_J,E_H,E_K,FLAG_2MASS,U,G,R,I,Z,E_U,E_G,E_R,E_I,E_Z,logL_TIR,logL_FIR,logL_60u,logL_12u,logL_22u,logL_K,ML_RATIO,logSFR_TIR,logSFR_FIR,logSFR_60u,logSFR_12u,logSFR_22u,logSFR_HEC,FLAG_SFR_HEC,logM_HEC,logSFR_GSW,logM_GSW,MIN_SNR,METAL,FLAG_METAL,CLASS_SP,AGN_S17,AGN_HEC,Separation,merge_D,merge_V,merge_T,merge_logKLum,merge_Kmag,merge_Bmag,logSFR_total,SFR_total,logM_total,M_total,sSFR,logsSFR,M_ratio,logM_ratio,ID,gr,bv,bu,MB,MR
GALFA Dw4,86.43666666666665,10.771111111111113,0.53,0.54,2.28,13.4,*,41,10,Ir,N,615,7.22,TF,1.78,68,17,0.0,23.8,7.76,7.78,,6.81,550,-2.0,Orion,-1.5,-0.53,,17.8,,,,,,18.09,,,19.47,-0.0,615,1,,2012ApJ...758...44S,29.29,,-13.77,,-2.06,,0.32,,-1.0,,,,,,,5.754399373371567E7,6.025595860743581E7,6456542.290346549,0.008709635899560805,,0.008709635899560805,-2.06,8709635.899560804,6.9399999999999995,3.45263962402294E7,7.538151250383644,5072715,GALFA-DW4,GALFA J086.4+10.8+611,,,,-,-,86.436626,10.771,0,,,," ",0,10.0,2.0,,629.4,4.0,534.1,11.56,0,0,7.4571,3.0264,4.9695,11.1899,3.3117,16.7913,Z,,17.355,,,,0.568,,,2.715,,,,,,0,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,?,?,0.4250698670158003,7.4571,629.4,10.0,7.76,13.4,17.354999542236328,-2.042,0.00907820530178186,7.6738138523837165,4.7186074861646846E7,1.9239161825601828E-10,-9.715813852383716,0.1819859200270257,-0.7399622114166311,11,,,,-12.007850292941345,
NGC3628,170.07083333333333,13.589722222222223,14.7,0.31,0.1,6.1,,458,4,,,844,10.52,TF,43.84,78,222,0.97,23.6,10.96,11.4,,9.79,710,0.8,NGC3627,1.1,1.92,,10.28,,,14.31,0.01,,11.46,0.0,,,,844,2,3,2018ApJ...861...49H,30.11,0.43,-20.9,,,,,,,,-0.07,,-0.9,,-0.01,9.120108393559116E10,2.5118864315095822E11,6.16595001861481E9,,0.8511380382023764,0.8511380382023764,-0.07,8.511380382023764E8,8.93,5.472065036135469E10,10.738151250383645,34697,NGC3628,NGC 3628,NGC 3628,NGC 3628,NGC3628,-,-,170.070755,13.589627,0,5.52,1.722,103.6,H,1,3.1,0.3,79.3,845.1,1.3,910.1,13.82,6,1,10.4788,1.6488,9.2129,11.944,7.4811,15.0391,N,,9.975,9.451,9.451,,0.188,0.172,0.172,0.117,0.701,3.13,4.85,54.8,105.76,4,4,4,4,,,,,,,,,0,0,7.174,6.377,6.074,0.02,0.023,0.023,1,,,,,,,,,,,43.8908,43.6119,43.556,,,10.927,,0.481,0.508,0.491,,,0.481,RT,10.8418,,,,,-1,-1,N,N,0.4389138438068422,10.4788,845.1,3.1,10.927000045776367,6.073999881744385,9.975000381469727,0.48100000619888306,3.0269134713058206,10.84179973602295,6.947038984881212E10,4.357127515612435E-11,-10.360799729824066,0.11804617107525736,-0.9279480950558643,12,,0.52400017,,-20.12655737565355,
KDG101,184.78791666666663,47.08972222222222,1.29,0.59,0.08,11.6,*,,-1,Tr,N,132,7.28,TRGB,2.72,63,,0.0,24.8,8.41,,,,190,1.2,NGC4258,1.3,1.7,,15.75,0.05,,22.65,0.35,,,,,22.96,0.29,132,24,,,29.31,0.02,-13.64,,-3.92,,-2.19,,,,-4.49,,-2.76,,,2.5703957827688646E8,,,1.2022644346174131E-4,3.235936569296281E-5,7.629290457735206E-5,-4.11751585059285,76292.90457735205,4.882484149407149,1.5422374696613187E8,8.188151250383644,39615,UGC07356,UGC 07356,UGC 07356,,12190909+4705235,1237661357007438010,-,184.788321,47.090185,0,0.451,0.451,0.0,H,2,10.0,0.5,14.92,268.7,17.4,498.0,21.63,3,1,7.5393,0.2214,7.4427,7.6883,6.907,7.8091,N,18.212,16.105,15.002,15.002,0.063,0.64,0.057,0.057,0.096,0.023,,,,,0,0,0,0,15.323662,15.942001,12.772853,9.989803,0.018957,0.124276,0.444707,1.152322,0,0,16.742,16.083,15.822,0.158,0.209,,3,17.26,16.012,15.446,15.171,15.174,0.041,0.007,0.006,0.007,0.028,,,,,,6.7418,0.799,,,,,,,,,,,,,-1,-1,?,?,1.9384851561718623,7.5393,268.7,10.0,6.741799831390381,15.821999549865723,16.104999542236328,-3.4822610954149953,3.2941161221513915E-4,6.655613683774098,4524948.948646385,7.279896766872495E-11,-10.137874779189092,,,13,0.56599903,1.1029997,-2.1070004,-13.281655582172291,-15.498080067273133
Grus 1,344.1766666666666,-50.163333333333334,3.5,0.59,0.03,13.6,*,7,-3,Sph,X,-140,0.12,HB,0.12,73,3,0.0,29.0,4.04,4.98,<,3.48,-190,2.4,Milky Way,2.5,1.75,,17.7,,,,,>,17.53,,,,,-140,2,16,2016ApJ...819...53W,20.4,0.15,,,,,,,,,,,,,,10964.78196143185,95499.25860214369,3019.9517204020162,,,,,0.0,,6578.86917685911,3.8181512503836434,5074558,GRUS1,,,,,-,-,344.1765,-50.1633,1,,,," ",0,,,,-140.5,2.0,-343.7,12.69,0,0,0.7751,0.3024,0.5247,1.145,0.3552,1.6915,Z,,,17.028,17.028,,,0.3,0.3,0.036,,,,,,0,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,?,?,0.4026577728029127,0.7751,-140.5,-3.0,4.04,13.6,17.7,,,3.9538138523837167,8991.121208374117,,,0.4467224604194831,-0.34996221141663086,14,,,,-6.74678868444466,
NGC3990,179.3983333333333,55.45861111111111,1.69,0.57,0.06,9.6,,,-1,,,696,10.3,SBF,5.02,65,,0.0,23.1,9.52,,,,788,-0.7,NGC3556,-0.3,-0.17,,13.43,0.1,,,,,,,>,24.16,0.51,696,40,,,30.06,0.28,-16.69,<,-4.1,<,-3.48,,,,,,,,,3.3113112148259077E9,,,7.943282347242822E-5,,7.943282347242822E-5,-4.1,79432.82347242821,4.9,1.9867867288955445E9,9.298151250383643,37618,NGC3990,NGC 3990,NGC 3990,,11573559+5527318,1237658802573475868,-,179.398185,55.458715,0,0.703,0.376,41.4,H,1,-2.7,0.7,80.19,687.4,22.0,929.9,25.09,3,1,10.6706,2.4699,9.4259,11.0192,8.7442,25.5929,N,13.837,13.457,12.577,12.577,0.049,0.049,0.049,0.049,0.074,0.0,,,,,0,0,0,0,10.481751,10.425487,9.621288,8.914216,2.19E-4,7.57E-4,0.022906,0.327161,0,0,10.477,9.747,9.549,0.013,0.019,0.021,2,14.769,13.08,12.313,11.928,11.697,0.004,0.002,0.002,0.002,0.002,,,,,,9.5528,,,,,,,,,9.4676,,,,,-1,-1,?,?,0.481197187586729,10.6706,687.4,-2.7,9.552800178527832,9.548999786376953,13.456999778747559,-3.4699999999999998,3.3884415613920273E-4,9.467599868774414,2.9349443354525194E9,1.1545164657678545E-13,-12.937599868774415,,,15,0.7670002,0.8800001,-0.3800001,-16.683944422106276,-18.13881962357915
NGC4136,182.32375,29.927500000000002,3.98,0.92,0.08,9.3,,92,5,,,608,6.67,NAM,7.83,24,100,0.04,23.2,9.24,9.96,,8.52,577,-0.6,NGC4631,-0.4,-0.2,,11.69,,,13.66,0.01,,13.65,,,15.92,0.1,608,10,,1999A&AS..135..255K,29.12,,-17.55,,-1.17,,-0.27,,-0.18,,-0.95,,-0.05,,-0.4,1.7378008287493763E9,9.120108393559114E9,3.311311214825908E8,0.06760829753919818,0.11220184543019636,0.08990507148469727,-1.0462158093157519,8.990507148469727E7,7.953784190684248,1.0426804972496257E9,9.018151250383644,38618,NGC4136,NGC 4136,NGC 4136,F12067+3012,12091770+2955393,1237667254014771254,-,182.323779,29.927657,0,1.172,1.172,0.0,H,2,5.2,0.7,22.02,592.8,7.4,758.9,15.8,1,1,9.6828,1.7836,8.0538,11.6413,6.6989,13.9959,N,,11.899,,,,0.262,,,0.078,0.055,0.0665,0.2347,1.398,4.315,1,1,3,2,12.485681,12.404436,10.036201,7.908639,0.001465,0.005018,0.03694,0.138588,0,0,10.315,9.609,9.307,0.042,0.05,0.06,2,14.76,13.45,12.692,12.464,12.179,0.006,0.002,0.002,0.002,0.003,,,41.8941,,,9.5652,,,,-1.171,,,-1.067,F3,9.48,,,,,-1,-1,Y,Y,0.5723962633245769,9.6828,592.8,5.2,9.565199851989746,9.307000160217285,11.89900016784668,-1.0670000314712524,0.08570377831249215,9.479999542236328,3.0199485372543654E9,2.837921814072074E-11,-10.54699957370758,0.14583175379943608,-0.8361479012692428,16,0.7579994,,,-18.031004639724173,-17.825649994613663
AGC174585,114.04291666666664,9.986388888888888,0.4,0.62,0.17,15.4,*,21,10,Ir,N,356,7.73,TRGB,0.91,60,3,0.0,24.4,6.94,5.95,,6.89,217,-2.1,NGC2903,-1.5,-0.49,,17.9,,,,,,18.05,,,21.79,0.07,356,3,6,2011AJ....142..170H,29.44,0.11,-11.71,,-3.38,,-0.18,,0.4,,,,,,,8709635.899560815,891250.9381337459,7762471.166286912,4.168693834703355E-4,,4.168693834703355E-4,-3.38,416869.38347033545,5.62,5225781.539736489,6.718151250383644,5060050,AGC174585,GALEXASC J073610.24+095910.4,GALEXASC J073610.24+095910.4,,,-,-,114.042871,9.986427,0,0.171,0.171,0.0,K,2,,,,356.0,3.8,280.9,11.32,1,1,7.9068,0.1821,7.7268,8.091,7.5509,8.2794,N,,,,,,,,,0.166,,,,,,0,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,?,?,0.21222256433410538,7.9068,356.0,10.0,6.94,15.4,17.9,-2.9659999999999997,0.0010814339512979386,6.853813852383717,7141901.437639868,1.5142101312102566E-10,-9.819813852383717,1.4455655459974142,0.1600377885833684,17,,,,-11.590003767975809,
AGC174605,117.59041666666664,7.794444444444444,0.34,0.94,0.1,15.6,*,24,10,Ir,N,351,9.59,TRGB,0.96,22,7,0.0,24.2,7.06,6.7,,7.16,196,-2.1,NGC2903,-1.6,,,18.0,,,19.53,0.17,,17.84,,,22.68,0.13,351,1,2,2011AJ....142..170H,29.91,0.04,-12.01,,-3.56,,-0.48,,0.85,,-2.99,,0.09,,0.28,1.1481536214968817E7,5011872.336272725,1.445439770745928E7,2.754228703338166E-4,0.0010232929922807535,6.493579313072851E-4,-3.187515850592851,649357.9313072851,5.812484149407149,6888921.72898129,6.8381512503836435,5060076,AGC174605,GALEXASC J075021.71+074740.3,GALEXASC J075021.71+074740.3,,,1237667781195138279,-,117.590298,7.794471,0,0.146,0.146,0.0,K,2,,,,351.0,3.3,270.1,11.12,3,1,10.029,0.6576,9.46,10.9391,9.2103,11.2994,N,,,,,,,,,0.1,,,,,,0,0,0,0,18.788113,,,8.819567,0.584575,,,0.408806,0,0,,,,,,,0,23.695,22.368,21.916,21.6,21.671,0.705,0.126,0.11,0.12,0.43,,,,,,,,,,,,,,,,,,,,-1,-1,?,?,0.4339153520844006,10.029,351.0,10.0,7.06,15.6,18.0,-2.831261095414996,0.0014748196133890234,6.973813852383716,9414859.69627443,1.5664807134328585E-10,-9.805074947798712,2.0419156069344444,0.3100377885833696,18,0.45199966,,,-12.006288156561155,-9.78780612888719
NGC4190,183.4358333333333,36.63333333333333,2.14,0.88,0.13,10.8,,49,9,BCD,N,235,2.83,TRGB,1.8,32,39,0.0,23.7,7.9,8.5,,7.47,239,1.7,NGC4214,1.7,-0.13,,13.5,,,15.02,0.05,,14.42,,,17.18,0.05,235,22,22,1986A&AS...63..323H,27.26,0.06,-13.89,,-2.42,,-0.19,,0.02,,-2.22,,0.01,,-0.18,7.943282347242822E7,3.1622776601683795E8,2.9512092266663842E7,0.0038018939632056127,0.006025595860743574,0.004913744911974593,-2.3085873928696414,4913744.911974593,6.691412607130358,4.7659694083456926E7,7.678151250383644,39023,NGC4190,NGC 4190,NGC 4190,F12112+3654,,-,-,183.435372,36.633249,0,0.766,0.766,0.0,H,2,9.9,0.3,25.41,157.7,29.0,351.2,32.05,3,1,2.9292,0.0987,2.8524,3.0156,2.6841,3.0926,N,14.257,13.846,13.127,13.127,0.005,0.171,0.118,0.118,0.127,0.067,0.1211,0.1232,0.3658,1.208,1,1,3,2,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,40.2733,,,,,,,-2.791,,,-2.688,F3,,,,,,-1,-1,?,?,1.3668864952741746,2.9292,157.7,9.9,7.9,10.8,13.845999717712402,-2.687999963760376,0.0020511623499844273,7.813813852383717,6.513491524739114E7,3.149098056232725E-11,-10.501813816144093,0.6026120179259009,-0.21996221141663153,19,,0.71899986,-0.41100025,-13.487745409611664,
UGCA127sat,95.22833333333332,-8.650277777777777,0.69,0.32,3.53,11.3,*,,10,Ir,L,708,8.5,mem,3.51,90,,0.0,22.8,8.76,,,,538,3.9,UGCA127,3.9,0.9,,16.9,,,,,,,,,20.45,0.27,708,26,,,29.65,,-16.28,,-2.04,,-0.67,,,,,,,,,5.754399373371567E8,,,0.009120108393559097,,0.009120108393559097,-2.04,9120108.393559096,6.96,3.45263962402294E8,8.538151250383644,5057224,LVJ0620-0839,,,,,-,-,95.228332,-8.650278,1,0.295,0.295,0.0,K,2,,,,708.0,26.0,522.4,27.68,0,0,7.1774,2.9424,4.7635,10.8145,3.1614,16.2948,Z,,16.9,,,,0.5,,,3.545,,,,,,0,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,?,?,0.0048123602394241965,7.1774,708.0,10.0,8.76,11.3,16.899999618530273,-2.028,0.009375620069258801,8.673813852383716,4.718607486164685E8,1.9869463812679547E-11,-10.701813852383717,,,20,,,,-12.379836133219284,
AGC124056,44.401666666666664,23.789166666666667,0.23,0.85,0.59,16.1,*,22,10,Ir,L,407,7.8,mem,0.59,35,4,0.0,24.1,6.67,6.1,,6.79,538,0.4,NGC1156,0.4,0.07,,19.0,,>,23.0,,,18.32,0.1,>,17.92,-0.0,407,,5,2016ALFALFA.......A,29.46,,-11.05,<,-1.73,<,1.74,>,-1.35,<,-4.18,<,-0.71,>,1.1,4677351.412871981,1258925.411794166,6165950.018614822,0.018620871366628676,6.606934480075965E-5,0.009343470355714718,-2.029491787966035,9343470.355714716,6.970508212033965,2806410.8477231883,6.448151250383644,5807769,AGC124056,,,,,-,-,44.401668,23.789168,1,,,," ",0,,,,407.0,4.3,407.1,12.72,0,0,5.202,2.2285,3.3894,7.984,2.2084,12.2538,Z,,,,,,,,,0.704,,,,,,0,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,?,?,0.006506241603695035,5.202,407.0,10.0,6.67,16.1,19.0,-2.020644251576224,0.009535769581894702,6.583813852383717,3835428.158555025,2.48623339759993E-9,-8.60445810395994,2.138148124731734,0.3300377885833692,21,,,,-9.58085173929927,
NGC4204,183.80999999999997,20.65861111111111,4.47,0.81,0.15,10.0,,88,7,,,861,8.0,txt,10.65,36,64,0.05,24.6,9.12,9.71,,8.57,787,-0.1,NGC4382,0.0,1.5,,12.9,,,14.62,0.08,,13.93,,,16.06,0.1,861,22,,1981ApJS...47..139F,29.52,,-16.82,,-1.05,,-0.04,,-0.25,,-1.11,,-0.1,,-0.19,1.3182567385564048E9,5.128613839913659E9,3.715352290971728E8,0.08912509381337455,0.07762471166286916,0.08337490273812186,-1.0789646597059388,8.337490273812185E7,7.921035340294061,7.909540431338428E8,8.898151250383643,39179,NGC4204,NGC 4204,NGC 4204,F12126+2056,12151435+2039326,1237667916493619225,2938718128965707776,183.810376,20.658714,0,2.028,2.028,0.0,H,2,7.8,0.8,0.0,854.7,1.3,985.9,14.23,1,1,7.8705,1.4498,6.5464,9.4624,5.445,11.3763,N,14.807,12.886,,,0.252,0.089,,,0.145,0.0,0.1156,0.1418,0.6958,1.787,1,2,3,2,10.52438,10.531299,7.58194,5.76709,0.002018,0.006721,0.021621,0.07313,0,0,12.255,12.358,11.843,0.048,0.045,0.094,2,14.647,13.55,13.097,12.786,12.911,0.007,0.003,0.003,0.015,0.042,41.9494,41.5244,41.4111,40.7355,40.5741,8.3708,,-1.461,-1.579,-1.654,-1.401,-1.613,-1.461,FT,8.2856,,,9.6,8.5912,0,0,N,N,1.3196117730929668,7.8705,854.7,7.8,8.370800018310547,11.843000411987305,12.88599967956543,-1.4609999656677246,0.03459394051736636,8.285599708557129,1.9301884323387092E8,1.7922571671124708E-10,-9.746599674224854,2.5600705424418786,0.4082519324099572,22,0.45300007,,-1.9210005,-16.59401193670467,-17.488859035740184
AGC124635,42.160416666666656,19.328333333333333,0.62,0.55,0.41,16.8,*,24,10,Ir,L,569,9.3,BTF,1.79,67,3,0.0,26.8,6.55,6.19,,7.2,692,-1.8,NGC0891,-1.2,-2.35,,19.5,,,19.17,,,17.68,0.05,,,,569,2,3,2018ApJ...861...49H,29.84,,-10.76,,,,,,,,-2.63,,0.95,,-0.04,3548133.892335753,1548816.6189124826,1.5848931924611142E7,,0.0023442288153199225,0.0023442288153199225,-2.63,2344228.8153199223,6.37,2128880.3354014517,6.328151250383644,5808757,AGC124635,,,,,1237673283048243281,-,42.160418,19.328332,1,0.4,0.36,76.0,S,1,,,,569.0,4.9,548.9,13.27,0,0,7.8147,3.1802,5.2021,11.7395,3.4629,17.6353,Z,,,,,,,,,0.494,,,,,,0,0,0,0,14.835636,,12.302383,,0.06262,,1.450036,,0,0,,,,,,,0,21.887,16.613,16.409,16.041,25.793,2.305,0.011,0.013,0.015,1.572,,,,,,,,,,,,,,,,,,,,-1,-1,?,?,0.006599697259504904,7.8147,569.0,10.0,6.55,16.8,19.5,-2.441,0.0036224299841669874,6.4638138523837165,2909469.791715318,1.2450481508630252E-9,-8.904813852383716,7.244989970253432,0.8600377885833694,23,0.20400047,,,-9.96456155231002,-14.666410230838121
NGC4242,184.37583333333333,45.61944444444445,5.5,0.76,0.05,9.1,,108,7,,,517,7.62,TRGB,12.18,41,71,0.08,23.8,9.43,9.86,,8.66,568,,,,,,11.59,,,13.99,0.05,,13.58,,,15.99,0.18,517,17,,2009MNRAS.400..743K,29.41,,-17.95,,-1.08,,-0.38,,-0.13,,-0.95,,-0.25,,-0.26,2.6915348039269137E9,7.244359600749891E9,4.570881896148752E8,0.08317637711026708,0.11220184543019636,0.09768911127023172,-1.0101538413865827,9.768911127023171E7,7.9898461586134175,1.6149208823561482E9,9.208151250383644,39423,NGC4242,NGC 4242,NGC 4242,,NGC4242,-,-,184.37568,45.619196,0,1.901,1.337,22.6,H,1,7.9,0.5,51.47,516.3,2.4,740.7,13.2,6,1,5.5473,0.8829,4.8378,6.3655,4.0077,8.0003,N,,11.59,11.028,11.028,,0.164,0.086,0.086,0.053,0.28,,,,,0,0,0,0,,,,,,,,,0,0,9.904,9.114,9.116,0.033,0.04,0.055,1,,,,,,,,,,,,,,,,9.1578,,,,,,,,,9.0726,,,,,-1,-1,?,?,0.9741714515972307,5.5473,516.3,7.9,9.15779972076416,9.116000175476074,11.59000015258789,-1.307107688970608,0.04930515302502155,9.072600364685059,1.1819534283277671E9,4.171497103297775E-11,-10.379708053655667,0.5143411555968683,-0.28874872371797267,24,,0.5620003,,-17.130408113998904,
CGCG 014-054,187.76583333333335,1.6758333333333333,1.27,0.58,0.08,13.4,*,44,9,Im,N,1105,9.42,TRGB,3.46,64,20,0.0,24.9,7.89,8.19,,7.68,954,,,,,,15.87,,,17.81,0.02,,16.5,,,22.79,,1105,5,10,1992A&AS...96..435G,29.87,,-14.08,,-3.62,,-1.37,,1.43,,-2.33,,-0.08,,0.14,7.762471166286911E7,1.5488166189124796E8,4.78630092322638E7,2.39883291901949E-4,0.004677351412871981,0.002458617352386965,-2.6093090575476006,2458617.3523869645,6.390690942452399,4.657482699772146E7,7.6681512503836435,41395,PGC041395,CGCG 014-054,CGCG 014-054,,,1237651752940011722,-,187.76558,1.675865,0,0.43,0.261,116.2,H,1,9.9,0.5,60.94,1104.3,2.6,1158.0,14.05,1,1,9.594,1.7673,7.9799,11.5345,6.6374,13.8676,N,16.5,15.661,,,0.578,0.259,,,0.076,0.402,,,,,0,0,0,0,12.99159,13.122481,,8.215577,0.017531,0.035056,,2.104047,0,0,,,,,,,0,16.766,15.68,15.361,15.22,15.209,0.023,0.005,0.012,0.024,0.024,,,,,,,,,,,,,,,,,,,,-1,-1,?,?,0.9187103126531174,9.594,1104.3,9.9,7.89,13.4,15.66100025177002,-2.42651634028332,0.003745274552156523,7.803813852383716,6.365226356355268E7,5.883961296077253E-11,-10.230330192667036,1.0000870152143553,3.778858336912788E-5,25,0.31900024,,-0.83899975,-14.248998318879373,-15.571097393370316
NGC4248,184.45791666666665,47.409166666666664,3.31,0.43,0.08,10.6,,66,8,,,484,7.4,TF,7.01,66,31,0.0,24.3,8.82,8.9,,7.79,544,1.7,NGC4258,1.7,1.7,,13.14,,,16.99,0.05,,15.7,,,18.01,0.1,484,27,,1977A&A....61..297v,29.35,,-16.29,,-1.92,,-0.6,,-0.16,,-2.22,,-0.9,,0.14,6.606934480075965E8,7.943282347242821E8,6.165950018614822E7,0.012022644346174132,0.006025595860743574,0.009024120103458853,-2.044595133227496,9024120.103458852,6.955404866772504,3.9641606880455786E8,8.598151250383644,39461,NGC4248,NGC 4248,NGC 4248,,12174990+4724329,1237661434308198442,-,184.457819,47.409154,0,1.005,0.45,108.0,H,1,9.0,1.4,79.62,482.7,5.7,712.3,14.03,1,0,7.4131,2.7042,5.1473,10.6764,3.574,15.3761,C,,13.163,12.582,12.582,,0.056,0.051,0.051,0.084,0.643,,,,,0,0,0,0,13.805272,13.713645,11.22318,7.30355,0.00443,0.014612,0.091019,0.064679,0,0,11.447,10.88,10.586,0.022,0.034,0.035,2,14.474,13.316,12.457,12.222,12.139,0.007,0.002,0.002,0.002,0.004,,,,,,8.8216,,,,,,,,,8.7364,,,,,-1,-1,?,?,0.2422781674785614,7.4131,482.7,9.0,8.821599960327148,10.586000442504883,13.163000106811523,-2.031216593259247,0.00930643625018143,8.73639965057373,5.450039508402793E8,1.7075906029365292E-11,-10.767616243832977,0.15047071699414233,-0.8225480096066446,26,0.8590002,0.5810003,,-16.186999186361106,-18.020067504926512
NGC4258,184.73958333333331,47.303888888888885,18.62,0.39,0.07,5.5,,421,4,,,447,7.66,TRGB,40.55,71,209,0.76,23.2,10.92,11.32,,9.62,506,-0.1,NGC4242,0.3,1.1,,9.1,,,11.96,0.05,,11.2,,,12.58,0.1,447,7,7,1987MNRAS.224..953S,29.42,0.04,-21.15,,0.44,,-0.35,,-0.69,,0.4,,-0.39,,-0.65,8.317637711026709E10,2.0892961308540408E11,4.1686938347033467E9,2.7542287033381663,2.51188643150958,2.633057567423873,0.4204603543363069,2.633057567423873E9,9.420460354336306,4.9905826266160255E10,10.698151250383644,39600,NGC4258,MESSIER 106,MESSIER 106,,M106,1237660635467219004,-,184.739936,47.303882,0,8.491,3.622,150.0,H,1,4.0,0.2,68.33,454.2,6.1,684.0,14.2,66,1,7.3141,0.3376,6.996,7.5822,6.8463,8.2313,N,,9.124,9.293,9.293,,0.137,1.482,1.482,0.071,0.583,,,,,0,0,0,0,8.899917,8.431244,5.603313,3.367357,4.6E-5,1.07E-4,5.01E-4,0.001768,0,0,6.375,5.716,5.464,0.018,0.021,0.022,1,12.504,10.917,10.098,9.658,9.382,0.002,0.001,0.001,0.001,0.002,,,,,,10.8587,,,,,,,,,10.7735,,,,,-1,-1,Y,Y,0.8612853632411599,7.3141,454.2,4.0,10.858699798583984,5.464000225067139,9.12399959564209,-0.3056777519645852,0.494677603367624,10.773500442504883,5.936089530222796E10,8.333391887858834E-12,-11.079178194469469,0.09340092955012015,-1.0296488015377978,27,0.81900024,-0.16900063,,-20.196804873424163,-19.923177167168493
AGC198712,149.79291666666663,36.03972222222222,0.29,0.3,0.04,16.0,*,36,10,Ir,N,550,10.81,NAM,0.88,90,13,0.0,24.2,6.97,7.23,,7.15,515,-0.8,NGC3184,-0.6,-0.79,,18.4,,,19.31,0.14,,18.13,0.08,,,,550,,5,2016ALFALFA.......A,30.17,,-11.81,,,,,,,,-2.85,,0.31,,0.13,9332543.007969905,1.698243652461746E7,1.4125375446227554E7,,0.001412537544622754,0.001412537544622754,-2.85,1412537.5446227537,6.1499999999999995,5599525.804781943,6.748151250383644,5808769,AGC198712,,,,,1237661382237028482,-,149.792917,36.039721,1,,,," ",0,,,,550.0,4.9,671.0,13.83,0,0,10.609,3.9847,7.2871,15.4452,5.0053,22.4862,Z,,,,,,,,,0.042,,,,,,0,0,0,0,18.6128,18.389027,,9.178522,0.455064,1.380984,,0.566647,0,0,,,,,,,0,22.679,21.45,21.324,21.08,21.001,0.349,0.055,0.067,0.071,0.218,,,,,,,0.654,,,,,,,,,,,,,-1,-1,?,?,0.00450572332228284,10.609,550.0,10.0,6.97,16.0,18.4,-2.5949999999999998,0.0025409727055493063,6.8838138523837165,7652685.266535322,3.3203674488755064E-10,-9.478813852383716,2.454922512707512,0.39003778858336974,28,0.12600136,,,-11.728372247051723,-10.320343903757726
