Name,FUVmag,TType,Tdw1,Tdw2,logKLum,logM26,logMHI,log_SFR_Ha,log_SFR_FUV
DDO182,16.10,10.0,Ir,N,7.89,8.16,8.03,-2.11,-1.72
dw1342-43,>23.00,-1.0,Tr,L,6.61,,<6.45,,<-5.29
dw1343+58,17.60,9.0,BCD,N,7.46,7.82,6.66,-3.36,-2.75
KK213,,-3.0,Sph,L,7.52,,<6.36,<-5.38,
dw1343-34,>23.00,-1.0,Sph,X,6.31,,<6.91,,<-4.88
ESO325-011,,10.0,Ir,L,7.86,8.4,7.87,-1.88,
[KK2000]58,,-3.0,Sph,L,7.15,,<5.50,<-5.51,
KK218,>23.00,-3.0,Sph,L,7.11,,<5.36,<-5.18,<-4.83
ESO383-087,13.70,8.0,,,9.05,8.32,7.82,-1.49,-1.45
DDO183,16.00,10.0,Ir,N,7.54,7.18,7.33,-3.12,-2.52
dw1350+5441,>23.00,-1.0,Sph,L,7.54,,,,<-4.79
KDG229,23.60,-1.0,Tr,L,8.72,,,,-4.28
KKH86,19.70,10.0,Ir,L,6.51,5.9,5.92,-6.04,-4.17
HolmIV,,8.0,,,8.62,9.08,8.36,-1.68,
UGC08833,16.70,10.0,Ir,N,7.41,7.38,7.05,-3.34,-2.85
dw1355+51,>23.00,-1.0,Sph,L,7.07,,,,<-4.71
M101Dw9,>23.00,-2.0,Sph,L,6.26,,,,<-4.62
KK227,>23.00,-2.0,Tr,L,7.88,,,,<-4.48
dw1357-28,>23.00,-1.0,Sph,L,6.5,,<6.91,,<-4.88
ESO384-016,19.20,9.0,BCD,N,7.83,6.32,6.69,<-4.65,-3.36
BootesIII,>23.00,-3.0,Sph,X,5.29,7.12,<2.98,,<-9.00
UGC08882,21.60,-1.0,dE,N,7.51,,,-4.37,-4.15
BootesII,22.50,-2.0,Sph,X,3.7,5.13,<1.62,,-8.90
BootesI,>23.00,-2.0,Sph,X,5.15,5.53,<2.39,,<-8.73
NGC5398,14.90,7.0,,,9.37,9.57,8.83,<-1.05,-0.73
dw1401-32,>23.00,-1.0,Sph,L,6.87,,<6.91,,<-4.87
M101Dw10,>23.00,-2.0,Sph,L,6.9,,,,<-3.50
M101-df3,>23.00,-2.0,Sph,X,7.27,,,,<-4.76
MESSIER101,10.00,6.0,,,10.79,11.32,9.86,0.46,0.52
dw1403-33,>23.00,-1.0,Sph,L,6.75,,<6.91,,<-4.86
NGC5408,,9.0,Im,N,8.57,8.68,8.48,-0.83,
M101-df1,24.20,10.0,Ir,L,6.17,,,,-5.27
M101dwD,>23.00,-2.0,Sph,L,8.18,,,,<-3.50
M101-df5,23.80,-1.0,Tr,X,8.48,,,,-3.83
PGC2448110,18.30,10.0,Ir,H,7.02,,,-1.92,-2.82
NGC5474,13.00,8.0,,,9.21,9.11,9.01,-0.89,-0.69
M101dwC,>23.00,-1.0,Tr,L,7.78,,,,<-3.49
NGC5477,15.00,9.0,Im,N,8.26,8.66,8.60,-1.62,-1.51
M101-df7,>23.00,-2.0,Sph,X,7.47,,,,<-3.52
dw1406-29,>23.00,-1.0,Sph,X,6.87,,<6.91,,<-4.89
M101-dwA,>23.00,-2.0,Sph,L,6.68,,,,<-4.74
KK230,18.20,10.0,Ir,L,6.18,5.98,6.35,-5.47,-3.78
M101Dw7,>23.00,-2.0,Sph,L,6.14,,,,<-4.68
M101-df4,>23.00,10.0,Ir,X,7.45,,,,<-3.51
M101-df6,>23.00,10.0,Ir,X,6.96,,,,<-3.51
M101-df2,,-2.0,Sph,L,6.74,,,<-4.59,
dw1408+56,>23.00,10.0,Tr,L,7.87,8.37,7.84,,<-3.50
M101dwB,>23.00,10.0,Tr,L,7.13,8.76,7.83,,<-3.48
dw1409-33,>23.00,-1.0,Sph,X,6.88,,<6.91,,<-4.86
M101Dw11,>23.00,-2.0,Sph,L,7.47,,,,<-3.48
dw1410-34,>23.00,10.0,Ir,L,6.54,,<6.91,,<-4.86
M101Dw14,>23.00,-2.0,Sph,L,7.42,,,,<-3.49
dw1412+56,>23.00,-1.0,Sph,L,6.79,,,,<-4.70
dw1413-34,>23.00,-1.0,Sph,L,6.26,,<6.91,,<-4.86
CIRCINUS,,3.0,,,10.6,10.54,9.30,0.04,
KKH87,17.40,10.0,Ir,N,7.73,7.8,7.97,-2.54,-2.24
dw1415-32,>23.00,10.0,Ir,L,6.08,,<6.91,,<-4.86
DDO187,16.40,10.0,Ir,N,7.06,7.35,7.10,-3.97,-2.98
dw1416+57,>23.00,-1.0,Sph,L,6.95,,,,<-4.71
KKR08,>23.00,-2.0,Sph,L,8.4,,<7.56,,<-3.95
NGC5585,13.20,7.0,,,9.21,9.96,9.00,-0.90,-0.62
DDO190,14.90,9.0,Im,N,7.93,8.48,7.52,-2.63,-2.24
PGC051659,,10.0,Ir,L,7.51,7.94,7.78,-3.59,
CentaurusA-dE5,>23.00,10.0,Tr,L,6.92,,<6.16,<-4.64,<-4.26
ESO222-010,,10.0,Ir,N,7.16,7.31,7.25,-2.90,
DDO194,16.80,8.0,,,8.09,8.8,7.83,-3.35,-2.37
MRK0475,17.50,9.0,BCD,H,7.64,7.44,6.48,-1.50,-2.24
ESO272-025,,10.0,Ir,N,7.61,7.86,6.74,-2.64,
KKR11,18.90,10.0,Ir,L,7.52,7.39,7.79,,-2.73
dw1446+58,20.10,10.0,Irr,N,6.49,,,,-3.53
UGC09540,17.20,10.0,Ir,L,7.52,8.08,7.99,-2.06,-2.10
ESO223-009,,10.0,Ir,N,9.17,9.42,8.79,-1.00,
UGC09660,16.00,9.0,BCD,N,8.68,8.58,8.23,-1.56,-1.48
UMin,>23.00,-3.0,Sph,X,5.8,5.59,<1.59,,<-8.76
ESO274-001,,7.0,,,8.92,9.91,8.32,-1.35,
KKR18,17.20,10.0,Ir,N,7.78,8.11,7.49,,-2.10
UGC09893,16.70,9.0,Im,N,8.25,8.16,7.93,-2.79,-1.86
UGC09992,16.60,10.0,Ir,N,8.26,8.54,8.40,-1.93,-1.64
PGC057323,17.40,8.0,Sm,,8.64,8.84,8.29,,-1.46
KKR25,,-1.0,Sph,L,6.73,,<4.93,-5.09,
ESO137-018,,6.0,,,9.54,9.51,8.59,-1.31,
Hercules,>23.00,-3.0,Sph,X,5.39,5.64,<2.72,,<-7.88
KDG235,18.60,10.0,Ir,L,7.64,7.85,7.87,-2.74,-2.48
Draco,>23.00,-3.0,Sph,X,6.45,5.92,<2.12,,<-8.52
MilkyWay,,4.0,,,10.78,,,,0.22
IC4662,13.00,9.0,BCD,N,8.72,8.64,8.24,-1.12,-1.37
NGC6503,13.50,6.0,,,10.0,10.09,8.86,-0.37,-0.56
KK242,21.40,10.0,Tr,L,6.47,,<6.18,-4.70,-4.06
IC4710,14.20,8.0,,,9.24,8.93,8.60,-0.87,-0.86
ESO104-022,17.60,10.0,Ir,L,8.05,8.15,8.53,-1.77,-2.06
NGC6744dwTBGa,>23.00,-2.0,Sph,L,7.28,,,,<-4.52
[KK2000]70,23.50,10.0,Ir,L,7.3,,,,-4.75
dw1907-6342,>23.00,-1.0,Sph,L,7.51,,,,<-4.48
UGC11411,16.60,9.0,BCD,N,7.85,,,-1.72,-1.84
[KK2000]71,16.00,10.0,Ir,N,7.83,,,,-2.02
NGC6744,11.50,4.0,,,10.91,11.41,10.31,0.35,0.54
BedinI,>23.00,-2.0,dSph,L,6.56,,,,<-4.38
ESO104-044,17.60,10.0,Ir,L,8.31,8.88,8.47,-2.61,-2.15
[KK2000]72,19.60,10.0,Ir,L,7.12,,,,-2.97
NGC6744dwTBGb,>23.00,10.0,Tr,L,5.88,,,,<-4.33
AM1909-615,21.50,8.0,(Sm),,7.94,8.94,8.26,,-3.70
NGC6789,16.80,9.0,BCD,H,7.94,,<6.47,-2.61,-2.60
SagdIr,15.90,10.0,Ir,L,6.55,7.0,6.97,-4.04,-3.11
IC4870,15.50,9.0,BCD,N,8.34,8.87,8.62,-1.32,-1.19
NGC6822,12.00,10.0,Ir,N,8.38,9.24,8.19,-1.90,-1.78
LVJ1952+1428,,9.0,BCD,N,7.78,7.51,7.19,-2.94,
KK246,20.00,10.0,Ir,N,7.71,8.11,7.96,,-2.54
IC4951,15.50,8.0,,,8.86,9.44,8.69,-1.45,-1.19
UGC11583,,10.0,Ir,L,8.15,9.06,8.44,-2.56,
KK251,,10.0,Ir,L,7.94,8.44,8.28,-2.48,
KK252,,10.0,Ir,L,8.13,8.85,7.28,-2.62,
NGC6946,13.20,6.0,,,10.99,11.01,10.11,0.63,0.51
KKR55,,10.0,Ir,N,8.4,7.91,7.87,-1.93,
DDO210,17.00,10.0,Ir,L,6.78,5.79,6.46,-5.34,-3.86
KKR56,,10.0,Ir,L,8.24,,,-2.57,
Cepheus1,,8.0,,,9.61,9.57,9.27,-1.54,
IC5052,14.40,7.0,,,9.27,9.93,8.81,-1.12,-0.83
KKR59,,8.0,,,9.39,9.19,,-1.17,
KKR60,,10.0,Ir,L,8.66,,,-1.34,
Segue3,>23.00,-3.0,Sph,N,3.19,3.85,,<-9.86,<-9.67
NGC7090,14.30,6.0,,,10.03,10.41,9.26,-0.31,-0.37
IC5152,12.50,9.0,BCD,N,8.71,8.94,8.01,-2.23,-1.55
Dw2215-4528,>23.50,-2.0,Sph,L,7.34,,,,<-4.52
Dw2216-4539,>23.50,-2.0,Sph,L,8.01,,,,<-4.54
Dw2217-4633,>23.50,-2.0,Sph,L,7.61,,,,<-4.54
6dFJ2218489-461303,17.40,9.0,Im,N,7.87,7.18,7.18,,-2.10
IC5201,13.30,6.0,,,10.19,10.4,9.68,-0.51,-0.19
Dw2221-4608,22.50,10.0,Irr,L,6.26,,,,-4.15
ESO289-020,17.60,8.0,Sd,,8.09,8.76,7.80,,-2.18
Dw2221-4607,>23.50,10.0,Tr,L,6.14,,,,<-4.55
ESO238-005,16.60,10.0,Ir,L,8.21,9.19,8.35,-2.27,-1.97
AM2220-460,17.40,10.0,Ir,L,7.62,8.74,7.54,,-2.24
PegasusIII,,-2.0,Sph,X,4.31,5.34,,<-7.54,
Dw2227-4623,20.40,10.0,Tr,N,7.58,,,,-3.32
AndXXVIII,,-1.0,Tr,L,6.04,5.56,,<-6.60,
Aquarius2,21.80,-2.0,Sph,X,4.43,5.48,,,-7.68
DDO215,17.00,9.0,Im,N,8.21,8.45,8.18,,-2.01
KK258,20.00,-3.0,Tr,L,7.16,,<5.75,-4.68,-4.48
Tucana,22.00,-1.0,Tr,L,6.66,7.22,<5.49,,-6.00
TucanaB,>23.50,-2.0,Sph,L,5.48,,,,<-6.26
LacI,,-3.0,Sph,X,7.34,6.22,,<-6.42,
PiscesII,22.70,-3.0,Sph,X,4.7,5.0,,-7.50,-7.56
AF7448_001,19.40,10.0,Ir,N,7.35,5.83,6.95,-2.75,-2.84
NGC7462,14.30,6.0,,,9.48,10.06,8.81,,-0.40
ApplesI,>23.00,-3.0,Sph,X,6.25,,,,<-4.54
NGC7640,,5.0,,,9.77,10.55,9.56,-0.45,
UGC12588,,8.0,,,8.83,9.44,8.22,-1.28,
UGCA438,15.40,10.0,Ir,N,7.59,7.75,7.25,-3.84,-2.65
CasdSph,>23.00,-3.0,Sph,L,7.66,7.29,<5.63,-6.11,<-5.95
ESO347-017,15.70,9.0,Im,N,8.25,8.68,8.23,-1.68,-1.61
Pegasus,16.30,10.0,Ir,L,7.35,6.13,6.74,-4.37,-3.54
DDO217,15.80,8.0,,,9.42,9.87,8.95,-1.13,-1.05
IC5332,12.60,7.0,,,9.74,10.3,9.31,-0.39,-0.26
NGC7713,,6.0,,,9.43,10.11,8.74,-0.64,
UGC12713,17.00,7.0,,,8.9,9.21,8.42,-1.61,-1.57
PGC680341,18.20,10.0,Ir,N,7.15,7.61,6.86,,-2.89
UGCA442,15.00,8.0,,,8.03,9.17,8.22,-2.18,-1.84
KKH98,18.20,10.0,Ir,L,6.63,5.87,6.49,-3.57,-3.27
ESO348-009,16.40,10.0,Ir,L,8.47,9.07,8.64,-2.06,-1.60
PegdSph,>23.00,-3.0,Sph,L,7.22,5.9,<4.21,-6.37,<-6.38
ESO149-003,15.80,10.0,Ir,N,7.95,8.11,7.90,-2.23,-1.79
AndXXI,>23.00,-3.0,Sph,X,6.34,6.3,,<-6.31,<-6.24
PAndAS-01,>23.00,-3.0,dE,H,5.74,,,<-6.35,<-6.33
NGC7793,11.30,6.0,,,9.7,10.25,8.70,-0.45,-0.42
PAndAS-02,>23.00,-3.0,dE,N,5.45,,,<-6.34,<-6.28
AndXXIX,>23.00,-2.0,Sph,X,5.96,5.76,,-6.54,<-6.54
