Name,FUVmag,TType,Tdw1,Tdw2,logKLum,logM26,logMHI,log_SFR_Ha,log_SFR_FUV
DDO046,16.20,10.0,Ir,N,8.47,9.68,8.58,-2.00,-1.50
DDO047,15.00,8.0,,,8.74,9.4,8.82,-1.74,-1.30
KK65,17.60,10.0,Ir,N,8.11,7.66,7.70,-1.87,-2.33
MADCASHJ0742+65dw,>23.00,-2.0,Sph,L,5.86,,<4.83,<-5.19,<-5.26
KKH40,17.90,10.0,Ir,N,7.65,7.12,7.72,-2.41,-2.23
CGCG262-028,16.00,9.0,BCD,N,8.18,8.62,8.13,-1.39,-1.42
AGC174605,19.50,10.0,Ir,N,7.06,6.7,7.16,-3.56,-2.99
UGC04115,15.80,10.0,Ir,N,8.26,8.85,8.35,-1.81,-1.66
HIPASSJ0801-21,,10.0,Ir,N,7.79,8.14,7.97,<-3.16,
NGC2500,13.80,7.0,,,9.8,9.97,8.95,-0.38,-0.37
LVJ0812+4836,19.00,9.0,BCD,N,7.69,7.9,7.66,-2.70,-2.46
NGC2537,14.30,8.0,,,9.84,9.96,8.74,-0.41,-0.56
IC2233,14.90,7.0,,,9.22,10.07,9.12,>-0.75,-0.26
NGC2541,13.20,7.0,,,9.48,10.47,9.52,-0.28,0.09
HolmII,12.60,9.0,Im,N,9.2,9.41,8.63,-1.15,-1.04
NGC2552,14.60,8.0,,,9.51,10.05,8.88,-0.79,-0.65
ESO495-008,,10.0,Ir,N,8.52,8.9,8.26,-1.74,
AGC188955,18.50,10.0,Ir,N,7.61,7.48,7.48,-2.11,-2.24
KDG052,17.50,10.0,Ir,L,6.93,6.28,7.02,-5.23,-3.06
KUG0821+321,,9.0,BCD,N,7.83,8.15,7.70,-2.29,
Dw0827+6452,>23.50,-2.0,Sph,L,5.95,,,,<-5.37
DDO052,17.00,10.0,Ir,N,8.36,8.92,8.28,-2.43,-1.91
LVJ0831+4104,19.80,9.0,BCD,N,7.02,6.37,6.40,-4.45,-3.26
DDO053,15.60,10.0,Ir,N,7.34,7.79,7.64,-2.13,-2.20
ESO495-021,,9.0,BCD,H,9.56,9.52,8.28,-0.20,
UGC04483,16.00,10.0,Ir,N,7.09,7.39,7.61,-2.38,-2.40
AGC181604,18.50,10.0,Ir,N,7.58,6.9,8.01,,-2.26
LVJ0843+4025,19.10,9.0,BCD,N,6.92,5.83,6.43,-3.10,-2.99
ESO496-010,17.80,9.0,BCD,N,8.43,8.51,7.76,,-2.12
AGC182595,19.30,9.0,BCD,N,7.3,5.92,6.95,-2.91,-2.92
UMaII,22.30,-2.0,Sph,X,4.18,5.27,<1.91,<-9.16,-8.84
NGC2683,14.40,3.0,,,10.81,11.25,9.14,-0.10,-0.02
KK69,20.80,10.0,Ir,L,7.55,6.73,7.66,-3.57,-3.53
NGC2683dw1,21.10,10.0,Ir,L,6.85,,,-3.11,-3.51
N2683dw2,>23.00,-2.0,Sph,L,7.14,,,<-4.29,<-4.34
KK70,>23.00,-3.0,Sph,L,8.1,,<6.99,-4.32,<-4.38
KSP-DW1,>23.00,-1.0,Tr,L,7.8,,,,<-3.81
KSP-DW3,>23.00,-2.0,Sph,N,8.22,,,,<-3.55
KSP-DW4,>23.00,10.0,Ir,L,7.72,,,,<-3.54
UGC04704,16.10,8.0,,,8.93,9.84,8.99,-1.38,-0.89
LVJ0859+3923,19.20,9.0,BCD,N,7.34,7.25,7.10,,-2.88
PGC025409,17.60,9.0,BCD,N,7.61,,,,-2.26
LSBCD564-08,19.00,10.0,Ir,L,7.03,8.17,7.54,<-4.40,-2.83
ESO497-004,19.20,8.0,Sm,,8.85,8.95,8.23,-2.46,-1.97
KSP-DW6,>23.00,-2.0,Sph,L,6.99,,,,<-3.72
HIPASSJ0905-36,>23.00,10.0,Ir,N,8.21,8.73,8.35,,<-2.82
UGC04787,16.20,8.0,,,9.26,9.74,8.83,-1.19,-0.82
KKH46,18.10,10.0,Ir,N,7.16,6.86,7.44,-2.60,-2.67
KSP-DW11,>23.00,9.0,Im,L,7.16,,,,<-3.96
LSBCD634-03,21.10,10.0,Ir,N,7.28,8.32,6.70,<-4.42,-3.57
KSP-DW12,>23.00,10.0,Ir,L,6.18,,,,<-3.78
KK71,21.10,10.0,Ir,L,7.46,,<7.03,,-3.10
DDO056,,10.0,Ir,N,8.5,9.02,7.96,-2.03,
KSP-DW13,>23.00,-2.0,Sph,L,7.86,,,,<-3.85
Dw0910+7326,>23.50,-2.0,Sph,L,7.33,,,,<-5.41
KSP-DW14,>23.00,-2.0,Sph,L,7.84,,,,<-3.89
Dw0910+6942,>23.50,-2.0,Sph,L,7.16,,,,<-4.68
KSP-DW15,>23.00,-2.0,Sph,L,7.83,,,,<-3.96
KSP-DW17,>23.00,-1.0,Tr,L,8.38,,,,<-3.96
KSP-DW18,22.50,9.0,Im,N,6.58,,,,-3.71
KK72,23.70,-3.0,Sph,L,7.83,,<7.03,,-4.12
NGC2784dw01,>23.00,-3.0,Sph,L,8.41,,<7.03,,<-3.75
NGC2784,16.70,-2.0,,,10.8,,,-1.06,-1.21
KK73,20.70,-1.0,Tr,L,9.08,,<7.03,,-2.85
UGCA153,17.10,8.0,,,9.07,9.79,9.06,-1.42,-1.00
LVJ0913+1937,18.90,10.0,Ir,N,7.24,6.27,7.04,-2.93,-2.78
KK74,>23.00,-1.0,Tr,L,8.52,,,,<-4.06
KSP-DW20,>23.00,-2.0,Sph,L,7.45,,,,<-3.96
KSP-DW21,>23.00,-2.0,Sph,L,6.45,,,,<-3.96
AGC198507,20.00,9.0,BCD,N,6.95,7.42,7.28,>-3.92,-3.02
KSP-DW23,>23.00,-2.0,Sph,L,6.32,,,,<-4.09
UGC04879,16.00,9.0,BCD,N,6.99,6.05,5.99,-4.33,-3.28
KSP-DW24,>23.00,10.0,Ir,L,6.58,,,,<-4.04
Dw0916+6944,>23.50,10.0,Irr,L,6.41,,,,<-4.62
HIPASSJ0916-23b,18.30,10.0,Ir,N,8.47,7.76,7.51,-2.66,-2.16
KSP-DW28,22.30,-1.0,Tr,L,7.93,,,,-3.89
NGC2835,13.20,5.0,,,10.34,10.71,9.49,0.37,0.17
Dw0918+6935,>23.50,-2.0,Sph,L,6.85,,,,<-4.58
Dw0919+6932,>23.50,10.0,Tr,L,6.11,,,,<-4.59
UGC04918,19.70,9.0,Im,N,7.74,,,,-3.08
NGC2787,18.90,1.0,,,10.19,10.58,8.43,-2.21,-2.34
LSBCD565-06,20.60,10.0,Ir,N,7.34,6.59,6.76,<-4.75,-3.38
Dw0919+6955,>23.50,-2.0,Sph,L,7.04,,,,<-4.60
UGC04932,17.10,8.0,,,8.69,9.5,8.72,-1.61,-1.26
Dw0920+6924,>23.50,-2.0,Sph,L,6.73,,,,<-4.50
KSP-DW30,21.60,10.0,Ir,L,6.65,,,,-3.64
Dw0920+7017,>23.50,-2.0,Sph,L,7.22,,,,<-4.40
KJ78,19.30,10.0,Ir,L,6.95,,,-3.42,-2.83
DDO062,16.70,8.0,,,8.71,9.45,9.15,-1.61,-1.42
AGC198508,18.30,10.0,Ir,N,7.18,6.99,6.92,-2.52,-2.45
ESO565-003,17.50,10.0,Ir,N,8.2,7.56,7.63,-2.12,-1.95
