Name,FUVmag,TType,Tdw1,Tdw2,Bmag,logKLum,logM26,logMHI,log_SFR_Ha,log_SFR_FUV
KKH34,22.10,10.0,Ir,L,17.1,7.57,6.33,7.15,-3.51,-3.51
ESO364-029,,9.0,Im,N,13.7,9.12,9.31,8.53,-1.37,
HIPASSJ0607-34,,9.0,BCD,N,14.1,8.69,9.19,8.32,-1.66,
NGC2188,,8.0,,,12.1,9.37,9.51,8.72,-0.83,
ESO121-020,17.00,10.0,Ir,N,15.3,7.78,8.08,7.94,,-2.33
LVJ0616-5745,18.50,10.0,Ir,N,17.0,7.07,7.5,7.36,,-2.91
UGCA127sat,,10.0,Ir,L,16.9,8.76,,,-2.04,
UGCA127,,6.0,,,14.1,10.0,10.8,9.34,0.12,
WHIB0619-07,,8.0,,,14.6,9.45,9.72,8.94,-1.45,
ESO489-056,,10.0,Ir,N,15.7,7.68,6.04,7.36,-2.55,
HIPASSJ0630+08,,10.0,Ir,N,19.0,,,7.48,-4.26,
UGC03475,,6.0,,,15.2,8.94,10.11,9.25,-1.03,
UGC03476,,10.0,Ir,N,16.0,8.46,8.98,8.65,-1.36,
ESO490-017,,10.0,Ir,N,14.0,8.13,8.22,7.90,-1.70,
CGMW1-260,,8.0,,,13.7,9.44,10.14,8.71,-1.24,
UGC03501,18.00,10.0,Ir,N,16.7,8.15,8.62,8.31,-2.26,-1.65
IC2171,,8.0,,,15.2,9.05,9.29,8.38,-1.14,
NGC2283,,6.0,,,12.9,9.84,10.39,9.44,-0.12,
KKSG9,,9.0,BCD,N,16.4,8.72,9.42,8.64,-1.87,
KKH37,19.00,10.0,Ir,N,16.4,6.9,6.12,6.71,-3.84,-3.49
KKH38,,10.0,Ir,L,17.4,7.47,8.55,8.19,-2.50,
UGC03600,17.60,8.0,,,16.2,8.05,8.99,8.07,-2.44,-1.96
HIZSS003B,,10.0,Ir,N,19.0,8.16,7.27,7.60,-1.90,
HIZSS003,,10.0,Ir,N,18.0,8.56,8.47,8.34,-2.97,
FG202,,10.0,Ir,L,15.0,7.92,8.51,8.34,-2.13,
HIPASSJ0705-20,,0.0,,,,,,8.65,-2.75,
ESO558-011,,8.0,,,14.4,9.0,9.41,7.93,-1.75,
NGC2337dwTBG1,21.50,9.0,Im,L,18.5,7.14,,,,-3.41
UGC03698,17.60,10.0,Ir,N,15.4,8.36,8.1,8.25,-1.85,-1.82
NGC2337,15.20,9.0,Im,N,13.5,9.34,9.96,8.96,-0.62,-0.77
UGC03755,16.40,10.0,Ir,N,14.1,8.43,7.97,8.28,-1.81,-1.71
UGC03817,17.90,10.0,Ir,L,16.0,8.43,7.97,8.17,-2.20,-2.17
DDO043,16.80,10.0,Ir,N,15.1,8.13,8.16,8.38,-1.90,-1.71
